10006742Sophia Ortiz                  1378401643Mallard PA 96259                             43191762005-10-02
96000987Dorothy Powell                0503085690Sycamore FL 89264                            46586802014-11-18
96016801Sharon Bell                   1357017076Kensington TN 48242                          53843792018-12-18
96040428Cook Long                     0907854509Mendota NC 57470                             84628872011-12-04
96049411Sophia Richardson             1594750956Hoepker NJ 57120                             21448832003-04-11
96118071Jason Wright                  1701318914Di Loreto KY 34318                           78070382016-07-30
96200227Charlotte Evans               1504549942Oak WV 24321                                 79972082002-02-10
96209977Gomez Brooks                  1737780007Comanche TX 58113                            97975362005-04-04
96243971Benjamin Ortiz                08923524415th NC 54082                                 20517202007-02-12
96287021Rivera Martin                 1779670552Menomonie IL 66137                           13692022010-05-03
96408294Rodriguez Kelly               1834906755Roxbury HI 14554                             17101542006-07-25
96464139Stephanie Perez               1883564383Morning FL 11085                             38744212015-09-13
96468014Jones Stewart                 1561695690Myrtle TX 47469                              70885592006-11-14
96510421Oliver Baker                  1970317635Village Green MD 28219                       13901032021-09-22
96514093Linda Cruz                    0273153047Center LA 59387                              87567502012-07-30
96606477Robert Hughes                 1567463567Brown IL 75066                               12269052010-10-07
96613346David Taylor                  1182213778Vermont TX 72786                             56545202019-08-18
96622739Gomez Jones                   0805215267Talmadge NM 58990                            86161272021-02-05
96626636Patricia Mitchell             0395910148Center LA 59387                              44976512016-11-08
96666040Miller Harris                 0248853748Surrey NY 24320                              54879212009-01-12
